Город;Отдел;Дата;Категория;Продажи;Производство;Питание персонала;Отмена;Брак
Ставрополь;Ставрополь-2;14.09.2025;Упаковка;8529,78;0,00;136,10;0,00;30,37
Ставрополь;Ставрополь-3;01.09.2025;Ингредиент;152408,39;5646,27;2488,18;0,00;0,00
Ставрополь;Ставрополь-3;01.09.2025;Упаковка;12679,63;0,00;106,56;0,00;0,00
Ставрополь;Ставрополь-3;02.09.2025;Ингредиент;53971,96;5507,19;1389,59;0,00;278,30
Ставрополь;Ставрополь-3;02.09.2025;Упаковка;4869,20;0,00;52,87;0,00;20,62
Ставрополь;Ставрополь-3;03.09.2025;Ингредиент;57873,54;7398,14;1726,64;709,85;233,33
Ставрополь;Ставрополь-3;03.09.2025;Упаковка;5095,86;0,00;49,14;76,69;32,18
Ставрополь;Ставрополь-3;04.09.2025;Ингредиент;55908,82;6455,89;1551,56;273,73;336,51
Ставрополь;Ставрополь-3;04.09.2025;Упаковка;4403,82;0,00;40,85;34,35;37,71
Ставрополь;Ставрополь-3;05.09.2025;Ингредиент;95060,11;6823,39;1136,66;0,00;74,63
Ставрополь;Ставрополь-3;05.09.2025;Упаковка;8126,52;0,00;45,17;0,00;1,51
Ставрополь;Ставрополь-3;06.09.2025;Ингредиент;108413,73;7600,37;1154,64;0,00;454,91
Ставрополь;Ставрополь-3;06.09.2025;Упаковка;8958,55;0,00;60,83;0,00;52,10
Ставрополь;Ставрополь-3;07.09.2025;Ингредиент;82994,86;6566,27;2021,02;1111,80;537,04
Ставрополь;Ставрополь-3;07.09.2025;Упаковка;6812,74;0,00;81,10;105,65;43,94
Ставрополь;Ставрополь-3;08.09.2025;Ингредиент;61137,24;6654,21;1181,10;0,00;576,97
Ставрополь;Ставрополь-3;08.09.2025;Упаковка;5494,39;0,00;31,20;0,00;61,54
Ставрополь;Ставрополь-3;09.09.2025;Ингредиент;50423,67;6541,27;1407,57;73,74;376,56
Ставрополь;Ставрополь-3;09.09.2025;Упаковка;4584,69;0,00;52,02;1,51;48,74
Ставрополь;Ставрополь-3;10.09.2025;Ингредиент;62558,35;6422,56;1414,21;0,00;552,93
Ставрополь;Ставрополь-3;10.09.2025;Упаковка;5593,64;0,00;69,05;0,00;54,88
Ставрополь;Ставрополь-3;11.09.2025;Ингредиент;59555,08;5574,34;1605,17;0,00;308,08
Ставрополь;Ставрополь-3;11.09.2025;Упаковка;5095,93;0,00;65,50;0,00;17,79
Ставрополь;Ставрополь-3;12.09.2025;Ингредиент;89174,02;4788,75;1720,96;0,00;852,06
Ставрополь;Ставрополь-3;12.09.2025;Упаковка;7804,32;0,00;67,04;0,00;84,35
Ставрополь;Ставрополь-3;13.09.2025;Ингредиент;109992,51;5024,49;1456,90;1126,60;0,00
Ставрополь;Ставрополь-3;13.09.2025;Упаковка;9805,70;0,00;64,51;91,44;0,00
Ставрополь;Ставрополь-3;14.09.2025;Ингредиент;92808,26;8459,11;1530,73;0,00;445,99
Ставрополь;Ставрополь-3;14.09.2025;Упаковка;7685,99;0,00;70,04;0,00;35,01
Ставрополь;Ставрополь-4;01.09.2025;Ингредиент;104647,66;7265,54;1997,95;397,44;719,56
Ставрополь;Ставрополь-4;01.09.2025;Упаковка;8964,62;0,00;120,11;53,37;29,27
Ставрополь;Ставрополь-4;02.09.2025;Ингредиент;68984,38;6811,87;1489,31;87,83;429,25
Ставрополь;Ставрополь-4;02.09.2025;Упаковка;6121,90;0,00;82,52;2,99;28,98
Ставрополь;Ставрополь-4;03.09.2025;Ингредиент;63025,86;5706,80;1587,14;66,57;712,78
Ставрополь;Ставрополь-4;03.09.2025;Упаковка;5526,18;0,00;103,76;17,48;70,66
Ставрополь;Ставрополь-4;04.09.2025;Ингредиент;60819,09;4911,92;1309,65;505,69;82,91
Ставрополь;Ставрополь-4;04.09.2025;Упаковка;5040,23;0,00;94,49;53,37;2,83
Ставрополь;Ставрополь-4;05.09.2025;Ингредиент;95030,49;5728,25;1258,09;536,79;376,77
Ставрополь;Ставрополь-4;05.09.2025;Упаковка;8230,59;0,00;77,94;69,96;41,11
Ставрополь;Ставрополь-4;06.09.2025;Ингредиент;68919,46;7685,45;1484,77;238,55;431,38
Ставрополь;Ставрополь-4;06.09.2025;Упаковка;6453,93;0,00;75,33;24,64;53,42
Ставрополь;Ставрополь-4;07.09.2025;Ингредиент;62260,79;9362,19;1496,86;0,00;368,84
Ставрополь;Ставрополь-4;07.09.2025;Упаковка;5887,62;0,00;80,76;0,00;5,85
Ставрополь;Ставрополь-4;08.09.2025;Ингредиент;73534,44;7569,79;1207,73;0,00;0,00
Ставрополь;Ставрополь-4;08.09.2025;Упаковка;6262,43;0,00;87,82;0,00;0,00
