Город;Отдел;Дата;Категория;Продажи;Производство;Питание персонала;Отмена;Брак
Тимашевск;Тимашевск-1;11.10.2025;Упаковка;7475,75;0,00;50,42;0,00;0,00
Тимашевск;Тимашевск-1;12.10.2025;Ингредиент;49677,18;8387,98;1013,13;283,45;0,00
Тимашевск;Тимашевск-1;12.10.2025;Упаковка;4061,11;0,00;51,55;11,22;0,00
Тимашевск;Тимашевск-1;13.10.2025;Ингредиент;42326,10;1670,69;1091,66;0,00;0,00
Тимашевск;Тимашевск-1;13.10.2025;Упаковка;3470,88;0,00;60,40;0,00;0,00
Тимашевск;Тимашевск-1;14.10.2025;Ингредиент;35140,07;2459,20;1015,97;0,00;0,00
Тимашевск;Тимашевск-1;14.10.2025;Упаковка;3092,07;0,00;81,82;0,00;0,00
Тимашевск;Тимашевск-1;15.10.2025;Ингредиент;38899,59;4195,79;1223,53;0,00;0,00
Тимашевск;Тимашевск-1;15.10.2025;Упаковка;3562,79;0,00;58,56;0,00;0,00
Тимашевск;Тимашевск-1;16.10.2025;Ингредиент;38306,27;3604,64;1183,37;0,00;0,00
Тимашевск;Тимашевск-1;16.10.2025;Упаковка;3056,29;0,00;39,99;0,00;0,00
Тимашевск;Тимашевск-1;17.10.2025;Ингредиент;53539,30;0,00;1123,52;29,98;0,00
Тимашевск;Тимашевск-1;17.10.2025;Упаковка;4719,85;0,00;73,41;0,86;0,00
